word;clarification;classification;endіngs;and;look;from;vars;but
Бара́навічы;;;-чаў;;;;;
Баранавы́х;;<i>нязьм.</i>;;;;;;
Бара́наў;;;;;;;;
Барана́ўскас;;;;;;Baranauskas;;
Бараўля́ны;;;;;;;;
Барба́ра;;;;;;;;
Барбу́да;;;;;;;;
Барві́ха;;;;;;;;
Ба́рдах;;;;;;Bardach;;
Баркашо́ў;;;;;;;;
Барко́ўскі;;;;;;;;
Баркула́б;;;;;;;;
Баркула́баўскі;;;;;;;;
Барна́кль;;;;;;Barnacle;;
Барсэлё́на;<i>стал.</i> Каталёніі;;;;;Barcelona;;
Барт;;;;;;Barthes;;
Барталямэ́й;;;;;;;;
Барташэ́віч;;;<i>чый:</i> Барташэ́вічаў;;;;;
барташэ́вічаўскі;;;;;;Барташэ́віч;;
Бартке́віч;;;;;;;;
Бартно́ўскі;;;;;;;;
Барто́сік;;;<i>чый:</i> Барто́сікаў;;;;;
барто́сікаўскі;;;;;;Барто́сік;;
Ба́ртчак;;;<i>чый:</i> Бартчако́ў;;;Bartczak;;
бартчако́ўскі;;;;;;Ба́ртчак;;
Ба́ртэльс;;;;;;;;
Бару́ны;;;;;;;;
Баршчэ́ўскі;;;;;;;;
Бары́с;;;Бары́са / Барыса́;;;;;
Барысагле́бскі;;;;;;;;
Бары́саў;;;;;;;;
Бары́саўшчына;;;;;;;;
Барысе́віч;;;;;;;;
Бары́сік;;;;;;;;
Барысла́ў;;;;;;;;
Барыстэ́н;;;;;;;;
Бары́с-хле́бнік;;;Бары́са-хле́бніка;;;;;
Барэ́йка;;;;;;;;
Баса́еў;;;;;;;;
Басана́вічус;;;;;;Basanavičius;;
Басано́віч;;;;;;;;
Ба́саў;;;;;;;;
Басё́;;;;;;Bashō;;
Басо́вішча;;;;;;;;
Басты́лія;;;;;;Bastille;;
Басьні́йска-Герцаґаві́нскі;;;;;;;;
Ба́тлер;;;;;;Butler;;
Бату́ра;;;<i>Т</i> <i>м.</i> Бату́рам, <i>ж.</i> Бату́рай;;;;;
Баты́й;;;;;;;;
Батырша́;;;;;;;;
Батычэ́лі;;;;;;Boticelli;;
Баўга́рыя;;;;;;;;
Ба́ўман;;;;;;;;
Баўтраме́й;;;;;;;;
Бафо́рт;;;;;;Bofort;;
Бах;;;;;;Bach;;
Ба́хман;;;;;;Bachmann;;
Ба́хус;;;;;;;;
Бахці́н;;;;;;;;
Ба́цькаўшчына;;;;;;;;
Бачы́ла;;;;;;;;
Бачы́нскі;;;;;;;;
Башкі́рыя;;;;;;;;
Башу́ра;;;;;;;;
Баяро́ўскі;;;;;;;;
Бе́гін;;;;;;;;
Без-Карніло́віч;;;;;;;;
Бе́кеш;;;;;;;;
Белаве́жа;;;;;;;;
Белако́з;;;;;;;;
Белапо́ль;;;;;;;;
Белару́сь;;;-сі, <i>Т</i> -сяй;;;;;
Беларуська́лій;;;;;;;;
Белару́сь-Галя́ндыя;;;;;;;;
Белару́сь-каталі́чка;;;;;;;;
Белару́сь-правасла́ўная;;;;;;;;
Беларутэ́нія;;;;;;;;
Беласто́к;;;;;;;;
Беласто́ччына;;;;;;;;
Белвэ́ст;;;;;;;;
Бе́ліца;;;;;;;;
Бе́льмач;;;;;;;;
Бе́льчыцы;;;;;;;;
